분류,의미,용어,용어(예시),예시의미,족보여부,ppt여부
접두사,를 향해,ad,"adductor, adrenal gland","모음근/내전근, 부신/콩팥위샘",o,
접두사,"위로, 분리하여",ana,"anabolism, analysis","합성대사/동화, 분석",o,
접두사,"앞, 앞으로",ante,"ante cibum, anteflexion","식전, 전굴/앞굽음",,
접두사,자신,auto,"autoimmune disease, autonomic nervous system","자가면역질환, 자율신경계통",,
접두사,에 대항하여,anti,"antibiotic, antibody, antigen, antagonist","항생제, 항체, 항원, 대항제/대항근",,
접두사,둘,bi,"bifurcation, bilateral, biceps brachii muscle","갈림/분기, 양측, 위팔두갈래근",o,
접두사,느린,brady,bradycardia,느린맥/서맥,,o
접두사,아래로,cata,catabolism,분해대사,,
접두사,"나쁜, 아픈, 힘든, 비정상",dys,"dyspnea, dysplasia","호흡곤란, 형성이상/이형성",o,o
접두사,함께,con,"cogenital, anomaly, connective","선천이상,선천기형, 결합/연결",,
접두사,"에 대항하여, 반대의",contra,"contraindication, contralateral","금기, 반대쪽/맞은편",,
접두사,"아래로, 부족한",de,dehydration,탈수,o,
접두사,"을 통한, 완전한",dia,"diameter, diarrhea, dialysis","지름, 설사, 투석",,
접두사,"바깥, 바깥쪽","ec, ecto",ectopic pregnancy,딴곳임신/자궁외임신,,
접두사,"속, 안","en, endo","endocardium, endoscope, endotracheal","심장속막, 심내막내시경, 기관내/기관경유",o,o
접두사,"의 표면에, 위",epi,epithelium,상피,o,
접두사,"좋은, 정상",eu,"euphoria, euthyroid","이상행복감, 정상갑상샘",o,o
접두사,"바깥, 에서 멀리 떨어진",ex,exophthalmos,눈알돌출증/안구돌출증,o,
접두사,절반,"hemi (semi, demi)",hemiglossectomy,반쪽혀절제,o,
접두사,"지나친, 위의",hyper,"hyperglycemia, hyperplasia, hypertrophy","고혈당증, 과다형성/과형성, 비대",,o
접두사,"부족한, 아래",hypo,"hypodermic injection, hypoglycemia","피하주사, 저혈당증",,
접두사,"아닌, 없는",in,insomniac,불면증 환자,,
접두사,"속으로, 속",in,incision,절개,,
접두사,"밑, 아래",infra (반: supra),infracostal,갈비아래,,
접두사,사이,inter,intercostal,"갈비사이, 늑간",,
접두사,"속으로, 속",intra,intravenous,정맥내,,
접두사,큰,macro,macrocephaly,대두증,,
접두사,작은,micro,microscope,현미경,,
접두사,나쁜,mal,"malaise, malignant","병감/권태, 악성",o,
접두사,"너머, 변화",meta,"metacarpal bone, metastasis","손허리뼈/중수골, 전이",o,
접두사,새로운,neo,"neonatal, neoplasm","신생아, 신생물/종양",o,
접두사,모든,pan,pancytopenia,"범혈구감소증/온혈구, 감소증",o,o
접두사,를 통한,per,percutaneous,"피부경유, 경피",,
접두사,둘러싸는,peri,"pericardium, periosteum","심장막/심낭, 뼈막/골막",o,
접두사,"비정상, 옆, 근처",para,"paralysis, parathyroid gland","마비, 부갑상샘",o,
접두사,수나 양이 많은,poly,"polymorphonuclear, polyneuritis","다형핵, 여러신경염/다발신경염",o,o
접두사,뒤,post,"postmortem, postpartum","사후, 분만후",,
접두사,"이전, 앞",pre,"precancerous, prenatal","전암, 출생전",o,
접두사,"앞, 앞으로",pro,"prodrome, prolapse","전구증, 탈출/탈출증",,
접두사,거짓,pseudo,pseudocyesis,거짓임신/가임신,o,
접두사,"뒤, 다시",re,"relapse, remission","재발, 완화/진정",,
접두사,"뒤, 뒤로",retro,"retroperitoneal, retroflexion","복막뒤/후복막, 뒤굽이/후굴",,
접두사,밑,sub,subcutaneous,피부밑/피하,,
접두사,위,supra,suprapubic,두덩위/치골상,,
접두사,"함께, 같이","syn, sym","syndactyly, synthesis, syndrome, symbiosis, symmetry, symphysis","합지증, 합성, 증후군, 공생, 대칭, 결합 (섬유골결합)",o,
접두사,빠른,tachy,tachypnea,빠른호흡/ 빈호흡,o,o
접두사,"가로질러, 을 통한",trans,"transfusion, transurethal","수혈, 요도경유/경요도",,o
접두사,"너머, 지나친",ultra,ultrasonography,초음파촬영술,,
접두사,하나,uni,unilatreral,한쪽/편측,,
접두사,one,mono,monocyte,단핵구,,o
위치,위,"superior, sup.",,,o,
위치,머리쪽,cranial,,,o,
위치,아래,"inferior, inf.",,,o,
위치,꼬리쪽,caudal,,,o,
위치,뒤,"posterior, post.",,,o,
위치,등쪽,dorsal,,,o,
위치,앞,"anterior, ant.",,,o,
위치,배쪽,ventral,,,o,
위치,안쪽,medial,,,o,
위치,가쪽,lateral,,,o,
위치,얕은,"superficial, supf.",,,o,
위치,중간,intermediate,,,o,
위치,깊은,deep,,,o,
위치,속,"interior, internal, int.",,,o,
위치,겉,"exterior, external, ext.",,,o,
위치,몸쪽,proximal,,,o,
위치,먼쪽,distal,,,o,
위치,같은쪽,ipsilateral,,,o,
위치,반대쪽,contralateral,,,o,
위치,들어오는 것,afferent,,,o,
위치,나가는 것,efferent,,,o,
위치,꼭대기,apex,,,o,
위치,바닥,base,,,o,
위치,손바닥,palm,,,o,
위치,손등,dorsum,,,o,
위치,좌,"left, lt.",,,o,
위치,우,"right, rt.",,,o,
위치,시상면,sagittal plane,,,o,
위치,이마(관상)면,coronal plane,,,o,
위치,"굽힘, 굴곡",flexion,,,o,
위치,"폄, 신전",extension,,,o,
위치,"모음, 내전",adduction,,,o,
위치,"벌림, 외전",abduction,,,o,
위치,가로면,transverse plane,,,o,
위치,"가로단면, 횡단면","cross-sectional plane, cross sectional plane",,,o,
계통,Digestive system,소화계통,,,o,
계통,Urinary system,비뇨계통,,,,
계통,Respiratory system,호흡계통,,,,
계통,Reproductive system,생식계통,,,,
계통,Endocrine system,내분비계통,,,o,
계통,Nervous system,신경계통,,,,
계통,Circulatory system,순환계통,,,,
계통,Musculoskeletal system,근육뼈대계통,,,,
계통,Skin & sense organ,피부와 감각기관,,,,
계통,소화계통,Digestive system,,,,
계통,비뇨계통,Urinary system,,,,
계통,호흡계통,Respiratory system,,,,
계통,생식계통,"Reproductive system, genital",,,,
계통,내분비계통,Endocrine system,,,,
계통,신경계통,Nervous system,,,,
계통,순환계통,Circulatory system,,,o,
계통,근육뼈대계통,Musculoskeletal system,,,o,
접미사,tissue death,infarct,,,,o
접미사,fluid,effusion,,,,o
접두사,fatty deposit,athero,,,,o
접미사,recording,graphy,,,,o
접두사,"lung, air","pneumo, pneumon, pulmo",,,,o
접두사,airway,broncho,,,,o
접두사,voice box,laryngo,,,,o
접두사,windpipe,tracheo,,,,o
접미사,chest,thorax,,,,o
접두사,incomplete,ateles,,,,o
접미사,expansion,ectasis,,,,o
접두사,lining,pleura,,,,o
접두사,breathing,spiro,,,,o
접미사,measurement,metry,,,,o
접미사,binding,desis,,,,o
접미사,oxygen,oxia,,,,o
접미사,carbon dioxide,capnia,,,,o
연결형,결장(colon),colo,,,,o
연결형,직장/항문(rectum/anus),procto,,,,o
연결형,"쓸개(담낭, ballbladder)",cholecysto,,,,o
접미사,swallowing,phagia,,,,o
연결형,membrane,meningo,,,,o
연결형,spinal cord/marrow,myelo,,,,o
접두사,높다,super,,,,o
연결형,vertebra,spondylo,,,,o
연결형,rib,cost,,,,o
연결형,rod,rhabdomyo,,,,o
연결형,ureter,uretero,,,,o
연결형,urethra,urethro,,,,o
연결형,pelvis,pyelo,,,,o
연결형,water,hydro,,,,o
접미사,crushing,tripsy,,,,o
접두사,exempt,immuno,,,,o
접두사,lymph,lympho,,,,o
접두사,increase in cells,cytosis,,,,o
접두사,shield(thyroid),thyro,,,,o
접두사,near kidney,adreno,,,,o
접미사,urine,uria,,,,o
약자,Past medical history,PMH,,,,o
약자,Hypertension,HTN,,,,o
약자,Diabetes mellitus type 2,DM2,,,,o
약자,Coronary artery disease status post bypass graft,CAD s/p CABG,,,,o
약자,History of,h/o,,,,o
약자,Physical exam,PE,,,,o
접미사,new opening,ostomy,,,,o
접미사,fixation,pexy,,,,o
접미사,"suture, repair",rraphy,,,,o
접두사,ray,radio,,,,o
접두사,slice,tomo,,,,o
